word,complexity_level
жазу,A2
кісі,A2
сәйкес,A2
мың,A1
тақырып,B1
басшы,A2
бөлу,A2
азамат,A2
әлем,A2
орыс,A2
иә,A1
ойын,A2
бе,A1
атау,A2
қалам,A2
жүзеге асу,B2
саяси,A2
президент,B1
ән,A1
тұлға,A2
бірдей,A2
міндет,A2
ақпарат,B1
үсті (үст),B2
әлеуметтік,B1
шешу,A2
өзгеру,A2
қайда,A2
туған,A2
шығарма,B1
қалау,A2
яғни,A2
аудан,A2
қолдану,B1
аға,A1
шағын,A2
атқару,A2
әрі,A1
ерекше,A2
тастау,A2
сөйлем,A2
мән,A1
көмек,A2
заман,A2
дос,A1
кезінде,B1
осындай,B1
бап,A1
ұсыну,A2
ғылыми,A2
аяқ,A1
байқау,A2
шақыру,A2
пікір,A2
өлу,A1
бұрын,A2
жазылу,A2
жалпы,A2
аудару,A2
қамтамасыз,B2
қалыптасу,B1
жас,A1
үкімет,A2
жүргізу,B1
арналу,A2
үлгі,A2
әже,A1
әлі,A1
шаруашылық,B2
бағыт,A2
саясат,A2
бітіру,A2
бөлік,A2
былай,A2
туризм,A2
әсер,A2
мағына,A2
қатты,A2
жүрек,A2
қасиет,A2
ала,A1
туу,A1
басу,A2
бизнес,A2
құру,A2
маңызды,B1
табиғат,B1
ашу,A1
құрам,A2
өндіру,A2
көлем,A2
ерекшелік,B1
күту,A2
құрылыс,B1
жөніндегі,B1
міне,A2
жігіт,A2
келтіру,B1
туындау,B1
ай,A1
нәрсе,A2
басты,A2
соңғы,A2
өнім,A2
бөлім,A2
әрекет,A2
соғыс,A2
кәсіпорын,B1
өзге,A2
олай,A2
та,A1
жұрт,A2
қазақ-жоңғар,B2
орта,A2
сұрау,A2
бірыңғай,B1
алға,A2
гүл,A1
байқалу,B1
аймақ,A2
мұғалім,B1
автор,A2
аса,A1
алғаш,A2
мүше,A2
түсіру,A2
жөн,A1
ер,A1
кейін,A2
тұрғын,A2
кітапхана,B1
бірге,A2
жылғы,A2
шарт,A2
бөліну,A2
құрылу,A2
батыр,A2
ереже,A2
әрбір,A2
көптеген,B1
жақ,A1
экономикалық,B2
пе,A1
жөнінде,B1
қазіргі,B1
хат,A1
асу,A1
енгізу,A2
ата,A1
оқиға,A2
төмен,A2
барыс,A2
қатысты,B1
ауа,A1
табыс,A2
па,A1
ірі,A1
қанша,A2
соғу,A2
ба,A1
ағаш,A2
болашақ,B1
құлақ,A2
оқулық,A2
аз,A1
дауыс,A2
қалдыру,B1
толық,A2
қоғамдық,B1
іздеу,A2
күлу,A2
денсаулық,B1
әрине,A2
сынып,A2
ешкім,A2
күрделі,B1
сөздік,A2
тас,A1
сүю,A1
кәсіпкерлік,B2
өндіріс,B1
қытай,A2
бойы,A2
темір,A2
сағат,A2
партия,A2
сөйту,A2
ондағы,A2
қатынас,B1
мазмұн,A2
тарихи,A2
шешім,A2
үйрену,A2
ойнау,A2
сайын,A2
тексеру,B1
теңге,A2
өйту,A2
қыз,A1
палата,A2
алтын,A2
кейбір,A2
құрылым,B1
мәлімет,B1
жазушы,A2
нақты,A2
орман,A2
тұрақ,A2
қызметкер,B1
теңіз,A2
ішу,A1
бұ,A1
экономика,B1
тәуелсіз,B1
байланыс,B1
тарап,A2
дәптер,A2
арнайы,A2
жалғыз,A2
биік,A2
ашылу,A2
мал,A1
есік,A2
ақыл,A2
патша,A2
зор,A1
ұғым,A2
әдіс,A2
нарық,A2
түсіндіру,B1
оралу,A2
біраз,A2
аумақ,A2
жинау,A2
көркем,A2
ұйымдастыру,B2
мерзім,A2
күй,A1
ата-ана,B1
өзара,A2
есім,A2
қызыл,A2
белгілеу,B1
түн,A1
батыс,A2
банк,A2
тең,A1
тауар,A2
қосу,A2
өзгеріс,B1
білімді,B1
жақын,A2
мұнда,A2
жеу,A1
өтініш,A2
тамақ,A2
сөйлесу,B1
бағытталу,B1
жолдас,A2
өңір,A2
тарау,A2
арттыру,B1
қана,A2
ақша,A2
ұшу,A1
бар,A1
тоқтау,A2
сену,A2
әсіресе,B1
жариялау,B1
қарастыру,B1
қойылу,A2
бұрынғы,B1
идея,A2
ұйымдасу,B1
тез,A1
шара,A2
материал,B1
ұл,A1
содан,A2
жалғау,A2
қағаз,A2
ерітінді,B1
сонымен,B1
баға,A2
бірнеше,B1
тәрбие,A2
арқасында,B1
маман,A2
дайындау,B1
кең,A1
көпшілік,B1
ғимарат,B1
ұнау,A2
келісім,B1
шаруа,A2
бұзу,A2
әрі,A1
мақала,A2
шағындау,B1
солай,A2
әскери,A2
комитет,B1
соны,A2
айтылу,A2
тану,A2
ескерту,B1
әкім,A2
шеше,A2
үн,A1
орын,A2
терең,A2
қабілет,B1
тармақ,A2
ашық,A2
ішкі,A2
артық,A2
жергілікті,B2
Отан,A2
сезім,A2
жөнелу,A2
есеп,A2
төрт,A2
қан,A1
ма,A1
одақ,A2
тәрбиелеу,B1
күрес,A2
жүгіру,A2
сауда,A2
Құдай,A2
сипат,A2
ұстаз,A2
жеті,A2
қызу,A2
тұс,A1
толыққанды,B2
көрсетілу,B1
тәсіл,A2
газет,A2
біліктілік,B2
мекеме,A2
таңдау,A2
ұзақ,A2
қозу,A2
адамгершілік,B2
құбылыс,B1
пайыз,A2
балапан,B1
тілдік,A2
реакция,B1
әскер,A2
қосымша,B1
алғашқы,B1
қонақ,A2
неше,A2
тұрғы,A2
дерек,A2
рөл,A1
министрлік,B2
дән,A1
дене,A2
мүдде,A2
жыр,A1
шығармашылық,B2
шығыс,A2
бірігу,A2
анық,A2
қиын,A2
солтүстік,B1
сәт,A1
тәжірибе,B1
хабар,A2
сырт,A2
бақылау,B1
ықпал,A2
мойын,A2
шын,A1
неге,A2
бейне,A2
салыстыру,B1
жүз,A1
элемент,B1
түру,A2
қадам,A2
бақыт,A2
басым,A2
тән,A1
өсімдік,B1
кіші,A2
сыр,A1
алты,A2
салық,A2
маңыз,A2
ату,A1
ұмыту,A2
орналасу,B1
беруші,A2
тұрақты,B1
сай,A1
секілді,B1
жылау,A2
қамту,A2
жақтау,A2
қайталау,B1
компания,B1
көзқарас,B1
көтерілу,B1
түйе,A2
кезек,A2
дәреже,A2
ену,A1
қайрат,A2
басқарма,B1
наурыз,A2
меңгеруші,B1
ит,A1
сүру,A2
әлгі,A2
бұдан,A2
тиімді,A2
ештеңе,A2
адал,A2
тура,A2
ұғу,A1
дін,A1
берік,A2
тию,A1
ет,A1
ертегі,A2
ондай,A2
етті,A2
зат,A1
институт,B1
қашан,A2
аспан,A2
көрсеткіш,B1
телефон,B1
түсінік,B1
алыну,A2
қар,A1
орнату,A2
от,A1
конституция,B2
сондай-ақ,B1
арман,A2
өзін-өзі,B1
шындық,A2
әдеби,A2
құралу,A2
мол,A1
ая,A1
бюджет,A2
көл,A1
бұлай,A2
қасы (қас),B2
газ,A1
төлем,A2
шет,A1
тасу,A2
бүкіл,A2
не,A1
қарым-қатынас,C1
әзірлеу,B1
кейде,A2
дербес,A2
шама,A2
рухани,A2
талдау,A2
сосын,A2
салыну,A2
көк,A1
жаман,A2
жарты,A2
үлес,A2
ортақтасу,B1
жау,A1
түп,A1
адамзат,B1
ауыру,A2
бай,A1
дәуір,A2
сана,A2
қарапайым,B1
мереке,A2
дыбыс,A2
ерте,A2
сапа,A2
түстес,A2
ескеру,A2
осылай,A2
нәтиже,A2
өнеркәсіп,B1
көлік,A2
байлық,A2
дейінгі,B1
топырақ,B1
есептеу,B1
нөмір,A2
өну,A1
үстел,A2
жүз,A1
дәстүр,A2
айқындау,B1
көрініс,B1
меңгеру,B1
сыйлық,A2
заңды,A2
өңдеу,A2
бәсеке,A2
төлеу,A2
түгел,A2
сіңіру,A2
танысу,A2
атты,A2
табиғи,A2
жасыру,A2
бекіту,A2
қойнау,A2
төраға,A2
комиссия,B1
әкімшілік,B1
қолданылу,B1
міну,A2
келісу,A2
тұз,A1
қалың,A2
демалыс,B1
мөлшер,A2
директор,B1
толықтыру,B1
ортақ,A2
көрме,A2
назар,A2
мұра,A2
спорт,A2
ұнату,A2
енгізілу,B1
форма,A2
қолданыс,B1
ілу,A1
апару,A2
мамандық,B1
тіршілік,B1
театр,A2
жарық,A2
кіріспе,B1
тұрмыс,A2
астам,A2
түс,A1
алайда,A2
бастық,A2
қорытынды,B1
мәдени,A2
төре,A2
әдемі,A2
рұқсат,A2
атаулы,A2
жаны (жан),B2
тарату,A2
толу,A2
қуану,A2
дәлелдеу,B1
таза,A2
нысан,A2
таныту,A2
жиын,A2
әбден,A2
мәшине,A2
шекаралас,B1
сенім,A2
жоспар,A2
қарыз,A2
қозғалыс,B1
өлке,A2
орта,A2
акт,A1
қалып,A2
құрмет,A2
меншік,A2
киім,A2
жиі,A1
мәселен,B1
тырысу,A2
жылдық,A2
ресми,A2
балық,A2
еркін,A2
термин,A2
шал,A1
ауру,A2
жүргізілу,B1
оң,A1
құрастыру,B1
атом,A2
қашу,A2
ертең,A2
жануар,A2
өзбек,A2
жайлы,A2
керемет,B1
кесте,A2
түрегелу,B1
аралық,A2
тіркес,A2
бұйрық,A2
миллион,B1
масса,A2
сүт,A1
қылмыс,A2
қалыптастыру,B2
менсіну,B1
еш,A1
сәлем,A2
тұлғалық,B1
қанатты,B1
кию,A1
әріп,A2
бүкіләлемдік,B2
қағида,A2
ақ,A1
қазан,A2
сараптама,B1
қосылу,A2
қауіпсіздік,B2
ою,A1
із,A1
рас,A1
көшу,A2
алаң,A2
басшылық,B1
қанат,A2
парламент,B1
тәрізді,B1
тағдыр,A2
бақылау,B1
конституциялық,C1
кейіпкер,B1
үміт,A2
жылқы,A2
өлтіру,A2
ас,A1
жалғастыру,B2
мұнай,A2
стандарт,B1
буын,A2
жеңіс,A2
сақталу,B1
сыйлау,A2
бері,A2
асырау,A2
студент,B1
аяқталу,B1
құқықтық,B1
төбе,A2
ұсыныс,A2
көмектесу,B1
Елбасы,A2
шетелдік,B1
жұмбақ,A2
айырылу,B1
жай,A1
сезу,A2
том,A1
көздеу,A2
басылым,B1
қаражат,B1
өсіру,A2
басталу,B1
хандық,A2
тотығу,A2
қабат,A2
мырза,A2
сары,A2
сын,A1
тым,A1
жоғарғы,B1
алуан,A2
қалпы,A2
ме,A1
қарқынды,B1
қоршау,A2
атамекен,B1
қоса,A2
жиналу,A2
рақмет,A2
асыл,A2
бөгет,A2
өзгеше,A2
баяндау,B1
ағылшын,B1
салт,A2
той,A1
поэзия,A2
сызба,A2
шекара,A2
сондай,A2
баба,A2
бауыр,A2
өзіндік,B1
табысты,B1
тамаша,A2
ежелгі,A2
атақ,A2
құндылық,C1
есту,A2
махаббат,B1
тигізу,A2
кесу,A2
сипаттама,B1
түлкі,A2
күнде,A2
субъект,B1
міндеттену,B2
ешқандай,B1
қуаныш,A2
карта,A2
тарау,A2
түрік,A2
қасқыр,A2
тірі,A2
суреттеу,B1
мінез,A2
желтоқсан,B1
айыр,A2
жетекші,B1
табысу,A2
стиль,A2
қайсы,A2
оңай,A2
қауымдастық,B2
сүйену,A2
күз,A1
қабырға,B1
жазу,A2
таныстыру,B1
түзеу,A2
ұмтылу,A2
фактор,A2
кішкентай,B1
жұмысшы,B1
тоқтату,B1
әлде,A2
поэма,A2
талай,A2
сұлу,A2
кемпір,A2
мысық,A2
тәуелсіздік,B2
билеу,A2
жылға,A2
сұлтан,A2
апа,A1
жұлдыз,A2
мекен,A2
оңтүстік,B1
тұңғыш,A2
жақындау,B1
жаңалық,B1
жиырма,A2
көктем,A2
естілу,A2
бір-бірі,B1
ерлік,A2
ресурс,A2
іс-әрекет,B1
ақымақ,A2
көрші,A2
министр,B1
түркі,A2
терезе,A2
тапсыру,B1
көбею,A2
өлім,A2
роман,A2
дайын,A2
ана,A1
бірлесу,B1
түзілу,A2
бері,A2
татар,A2
ұлттық-мәдени,C1
жетістік,B1
бостандық,B1
әзірлену,B1
санау,A2
сапар,A2
сыртқы,A2
жуық,A2
пайдалы,B1
нұр,A1
көне,A2
оқырман,B1
жоспарлау,B1
бос,A1
қорғау,A2
ақ,A1
саналу,A2
қысқа,A2
қауым,A2
химиялық,B1
университет,B1
көтеріліс,B1
музыка,A2
шетел,A2
амал,A2
көшіру,A2
қайтыс,A2
бірде-бір,B1
саты,A2
айқын,A2
қорыту,A2
резерв,A2
тілек,A2
кірісу,A2
қару,A2
апта,A2
мезгіл,A2
норма,A2
бөлме,A2
кешіру,A2
қылу,A2
бекітілу,B1
орда,A2
пән,A1
тұжырым,B1
нағыз,A2
жеміс,A2
ұқсау,A2
секіру,A2
шешілу,A2
диалог,A2
арту,A2
жауу,A2
қоян,A2
температура,B2
аң,A1
қауіп,A2
сабақты,B1
ауыр,A2
қуу,A1
аман,A2
тайпа,A2
жариялану,B1
жинақтау,B1
кәсіби,A2
мүлде,A2
алдау,A2
рух,A1
теке,A2
етілу,A2
қоныс,A2
шығысу,A2
азаматтық,B1
мұрағат,B1
әлемдік,B1
жобалау,B1
ұсыным,A2
жайында,B1
алаш,A2
достық,A2
тыс,A1
минут,A2
демек,A2
даярлау,B1
күшею,A2
құпия,A2
ал,A1
қымбат,A2
жастар,A2
төгу,A2
реформа,B1
те,A1
оқ,A1
танылу,A2
тиісті,A2
ұзын,A2
белсену,B1
кеме,A2
араласу,B1
металл,A2
аңыз,A2
өтірік,A2
жауапкершілік,C1
жетісу,A2
кеңістік,B1
жеңу,A2
майдан,A2
кешен,A2
сиыр,A2
қабылдану,B1
салдар,A2
бөлек,A2
депутат,B1
асқан,A2
жан-жақты,B1
қиындық,B1
ұйықтау,B1
араб,A2
аудандық,B1
әпке,A2
кәсіп,A2
сахна,A2
сипаттау,B1
мама,A2
кедергі,B1
қажет,A2
дүкен,A2
жану,A2
сезіну,A2
туынды,A2
келесі,A2
бұру,A2
журнал,A2
байлау,A2
мынадай,B1
бұлақ,A2
несие,A2
жетілдіру,B1
бөлшек,A2
дәстүрлі,B1
үрдіс,A2
тамыр,A2
ескерткіш,B1
жапырақ,B1
шаш,A1
белсенді,B1
жел,A1
сайлау,A2
жібек,A2
елді,A2
жақсылық,B1
септік,A2
себебі,A2
молекула,B1
өнеге,A2
ескерту,B1
өлшем,A2
айналысу,B1
бағу,A2
құтылу,A2
бұйым,A2
сарай,A2
домбыра,B1
шынайы,A2
журналист,B1
кейінгі,B1
қозғау,A2
молда,A2
жою,A1
қаулы,A2
медицина,B1
наградтау,B1
ыстық,A2
заңдылық,B1
ойлау,A2
әрқайсы,B1
құн,A1
іні,A1
күшті,A2
төрағалық,B1
жарыс,A2
қуат,A2
құйылыс,B1
еңбектеу,B1
әкету,A2
доллар,A2
мәртебе,B1
таңба,A2
тіс,A1
сыну,A2
бастама,B1
діни,A2
арнау,A2
аяу,A1
қозғалу,B1
өкімет,A2
лауазым,B1
кодекс,A2
ру,A1
тұжырымдау,B2
энергия,B1
философиялық,B2
басыну,A2
объект,A2
дағды,A2
туғызу,A2
этникалық,B1
төменгі,B1
тіркеу,A2
ғарыш,A2
мүлік,A2
сайлау,A2
қону,A2
жаға,A2
ауысу,A2
сәл,A1
суық,A2
дәрігер,B1
маң,A1
хабарлау,B1
айғайлау,B1
аю,A1
жанр,A2
кешу,A2
қыстау,A2
сүйек,A2
асығу,A2
ауызша,A2
құю,A1
өңірлік,B1
толы,A2
баспасөз,B1
бұзылу,A2
мынау,A2
шеңбер,A2
орталықтану,B2
айтуынша,B1
айыру,A2
шеберлік,B1
қызығу,A2
қос,A1
шебер,A2
әнші,A2
босату,A2
ұшырау,A2
лақтыру,B1
әйтеуір,B1
доп,A1
жай,A1
қырғыз,A2
қарт,A2
тұтас,A2
басылу,A2
куә,A1
отау,A2
зауыт,A2
база,A2
сұраныс,B1
кадр,A2
қалмақ,A2
шәкірт,A2
ауыстыру,B1
қоңырау,B1
нығайту,B1
стансы,A2
жүзу,A2
электрон,B1
айдау,A2
кеше,A2
күміс,A2
сарапшы,B1
жинақ,A2
үздік,A2
бедел,A2
тартылу,B1
шектеу,A2
әрең,A2
жарау,A2
қызығушылық,B2
тегін,A2
айнала,A2
әдетте,A2
дайындық,B1
тағам,A2
әдет,A2
бұрыш,A2
біріктіру,B1
май,A1
жеңіл,A2
киіз,A2
белсенділік,B2
жарық,A2
жуан,A2
жарылу,A2
компьютер,B1
принцип,B1
жылан,A2
қыстау,A2
тиіспеушілік,B2
аясу,A2
күресу,A2
төмендеу,B1
саусақ,A2
отбасылық,B1
ұйқы,A2
тұмсық,A2
бел,A1
игеру,A2
әріптес,B1
футбол,A2
есе,A1
кеңейту,B1
күйеу,A2
қызықты,B1
айырмашылық,B2
мейлінше,B1
бата,A2
мекенжай,B1
зиялы,A2
зерттеуші,B1
технология,B2
төңіректеу,B2
тебу,A2
алыс,A2
уақытша,B1
алғыс,A2
дайындалу,B1
жетектеу,B1
нан,A1
шамамен,B1
қаңтар,A2
ұя,A1
азаю,A2
қамқорлық,B1
пішін,A2
аралау,A2
қоңыр,A2
өйткені,B1
тұқым,A2
келешек,B1
көрнекті,B1
маусым,A2
нашарлау,B1
стратегия,B1
ояну,A2
талқылау,C1
ем,A1
таңертең,B1
төну,A2
бірден,A2
жұмсау,A2
фирма,A2
ісіну,A2
жарайды,B1
зейнетақы,B1
ион,A1
жоғалу,A2
ше,A1
ешқашан,B1
жару,A2
кем,A1
теріс,A2
аударма,B1
бастапқы,B1
бірен-саран,B2
созу,A2
жиынтық,B1
зал,A1
әуелі,A2
жуу,A1
ес,A1
кішкене,B1
латын,A2
өкініш,A2
төр,A1
бөлімше,B1
ұқсас,A2
жарату,A2
мұражай,B1
өндіруші,B1
қарқын,A2
орынсыз,B1
шарап,A2
интернет,B1
кеуде,A2
өріс,A2
сектор,A2
ұйымдастырылу,C1
азат,A2
ақпараттық,B2
орынды,A2
ар,A1
тиістілік,B1
бұйыру,A2
бірлестік,B1
қысым,A2
нүкте,A2
тірек,A2
барынша,B1
жазба,A2
салмақ,A2
мәжіліс,B1
өткізілу,B1
әлеует,A2
баяғы,A2
жауапты,B1
үзінді,A2
курс,A2
өлшеу,A2
бағыттау,B1
дегендей,B1
сәуле,A2
ұсынылу,B1
апат,A2
жағу,A2
образ,A2
биыл,A2
болмыс,A2
жылдам,A2
ұру,A1
метр,A2
орау,A2
тақта,A2
жаңбыр,A2
қор,A1
теледидар,B1
жүк,A1
мәлімдеу,B1
балуан,A2
озу,A1
оқтау,A2
трансформациялау,C1
ендеше,A2
толтыру,B1
ажырау,A2
облыстық,B1
жүргізуші,B1
рейтинг,B1
таралу,A2
неміс,A2
ислам,A2
капитал,B1
сүйікті,B1
республикалық,C1
сау,A1
сызық,A2
үндеу,A2
қазақстандық,B2
хабарламалық,B2
жию,A1
сегіз,A2
етістік,B1
таныс,A2
департамент,B2
тәлімдік,B1
кері,A2
қалта,A2
ағым,A2
түрме,A2
бір-ақ,A2
академия,B1
жауынгер,B1
қызғану,B1
сұйық,A2
тиісу,A2
ұзындық,B1
ажырату,B1
әйтпесе,B1
қаржылық,B1
қышқыл,A2
теория,A2
соттау,A2
түсінікті,B1
шағу,A2
былтыр,A2
хал,A1
шабуыл,A2
ойыншы,A2
қолдау,A2
елес,A2
қадағалау,B1
адалдық,B1
еру,A1
электр,A2
түсіністік,B2
әділет,A2
етек,A2
модель,A2
әділ,A2
ескі,A2
саға,A2
жайт,A2
өзгерту,B1
шыңдау,A2
әркім,A2
қараша,A2
жабу,A2
қолайлы,B1
құшақ,A2
негіздеме,B1
азық-түлік,B2
ойлану,A2
тағайындау,B2
дау,A1
керектік,B1
көзделу,B1
мұз,A1
аяз,A1
жылдамдық,B1
қыс,A1
әй,A1
жеңімпаз,B1
құтқару,B1
айрықша,B1
концентрация,B2
намыс,A2
түсті,A2
хатшы,A2
керісінше,B1
ақтау,A2
мүйіздеу,B1
сәлемет,B1
академик,B1
қайғы,A2
қасиетті,B1
қорығу,A2
жаз,A1
империя,B1
қожа,A2
ұжым,A2
айналым,B1
әл,A1
тұрақтылық,B2
үзу,A1
сенімді,B1
айып,A2
аударылу,B1
бату,A2
айналдыру,B1
кіріс,A2
танымал,B1
мамыр,A2
минералды,B1
туыс,A2
ұзау,A2
жағалау,B1
желі,A2
үлгеру,A2
ақы,A1
бейбітшілік,B2
күндік,A2
техника,B1
түю,A1
табан,A2
тоқталу,B1
тұтынушы,B1
бірдеме,B1
мақал-мәтел,B2
серік,A2
сұхбат,A2
келісімшарт,B2
фильм,A2
сақ,A1
ыдыс,A2
шар,A1
бекініс,B1
жылу,A2
құм,A1
толқын,A2
іздестіру,B1
қазына,A2
біркелкі,B1
жоңғар,A2
қажеттілік,B2
ақиқат,A2
бірдеңе,B1
қуаттау,B1
операция,B1
дастарқан,B1
команда,B1
көсем,A2
қызметақы,B1
мылтық,A2
ағайын,A2
қышқылды,B1
әйгілі,A2
қақпа,A2
анау,A2
химия,A2
іскерлік,B1
көйлек,A2
өрнек,A2
пісіру,A2
тіркеуші,B1
жіп,A1
тұсау,A2
маңдай,A2
төңірек,B1
дәріс,A2
ұстаным,B1
торғай,A2
тергеу,A2
ханым,A2
мұхит,A2
ояту,A2
шілде,A2
ахуал,A2
жүгіну,A2
шақ,A1
алды (алд),B2
аяқтау,A2
қаза,A2
отыз,A2
филиал,A2
демалу,A2
мәжбүр,A2
түк,A1
қайтару,B1
немере,A2
шаңырақ,B1
базар,A2
қағу,A2
сілтеме,B1
ұят,A1
кемшілік,B1
король,A2
құс,A1
лирика,A2
орысша,A2
еңбекақы,B1
жаттау,A2
ынтымақтастық,C1
құйрық,A2
жылжу,A2
болыс,A2
жаю,A1
тізбе,A2
ғылыми-техникалық,C1
апай,A2
әрқашан,B1
бөлісу,A2
оқытушы,B1
енші,A2
мыс,A1
сәуір,A2
тәуекел,B1
осу,A1
таяқ,A2
құлыншақ,B1
қызметші,B1
кедендік,B1
қалдық,A2
суретші,B1
шаршау,A2
әліпби,A2
шашу,A2
қауіпті,B1
орындалу,B1
аралас,A2
жарқын,A2
жұту,A2
кесір,A2
төл,A1
көбейту,B1
асқар,A2
көмір,A2
мұсылман,B1
өтіну,A2
үдеріс,A2
қатаң,A2
бұтақ,A2
неліктен,B1
ұпай,A2
жатқызу,B1
аттану,A2
ендігі,A2
үнем,A2
азот,A2
клуб,A2
пошта,A2
мерген,A2
мұрын,A2
биіктік,B1
жорық,A2
қарындас,B1
рәсім,A2
стратегиялық,B2
тігу,A2
азаттық,B1
демеу,A2
грамматикалық,C1
қараңғы,B1
математика,B2
әңгімелеу,B1
ешбір,A2
жабылу,A2
жомарт,A2
барша,A2
бағалы,A2
орташа,A2
тығыз,A2
ұялу,A2
жайлау,A2
төңкеріс,B1
география,B1
еру,A1
өздік,A2
бағыну,A2
гөрі,A2
демократиялық,C1
дөңгелек,B1
тері,A2
жаппай,A2
келін,A2
ұры,A1
шөп,A1
жетім,A2
наряд,A2
орналастыру,B2
таң,A1
аппарат,B1
жойылу,A2
компьютерлендіру,C1
қате,A2
таң,A1
баспа,A2
елеулі,A2
кеш,A1
рай,A1
электронды,B2
дәу,A1
қалау,A2
талдау,A2
айтарлықтай,B2
артықшылық,B2
бесік,A2
азап,A2
алысу,A2
кеңу,A2
қараңғылау,B2
қылық,A2
тип,A1
шай,A1
авторлық,B1
ақылды,A2
бен,A1
құрама,A2
папа,A2
автомобиль,B2
иіс,A1
тек,A1
түбір,A2
атақты,A2
билеуші,B1
бұлау,A2
едәуір,A2
жаттығу,B1
ұстану,A2
жоғалту,B1
ақталу,A2
басқаша,B1
класс,A2
пайдаланылу,B2
риза,A2
кешігу,A2
педагогикалық,C1
сақтандыру,B2
ұсақ,A2
еуразиялық,B2
ешкі,A2
жалау,A2
жат,A1
толғау,A2
балабақша,B1
шаршы,A2
бүгінгі,B1
иық,A1
жөндеу,A2
регламент,B1
философия,B1
халықтық,B1
ары,A1
сауал,A2
ақсақал,B1
сағыну,A2
