,word,f1,f2,f3,f4,f5,f6,f7,number_of_letters,chatgpt_score_encoded,fasttext_A_sim,fasttext_B_sim,fasttext_C_sim,score_encoded
108,елу-алпыс,3,0,2,1,0,150,1,9,3,0.56848216,0.5009858,0.4898059,1
109,желім,74,0,26,3,5,34,0,5,2,0.32098618,0.3515764,0.3007887,2
110,валюталық,5,144,0,7,1,15,0,9,3,0.34659335,0.38294086,0.3796316,3
111,қаһар,30,0,7,11,32,45,0,5,2,0.4247994,0.48472536,0.44623294,3
112,олқы,10,0,3,1,8,113,0,4,0,0.16000126,0.17422089,0.2787201,4
113,күллі,67,27,21,37,5,0,0,5,2,0.3574948,0.36837912,0.37021765,2
114,материк,101,0,0,2,26,33,2,7,2,0.3156666,0.35127324,0.31325716,2
115,омыртқа,79,0,13,1,5,26,0,7,2,0.30952874,0.29541454,0.3285264,2
116,еркімен,48,9,2,13,2,62,0,7,2,0.27149594,0.2737973,0.24983466,3
117,сақина,74,0,16,13,2,22,0,6,2,0.28517497,0.28230783,0.22480744,1
118,жүгері,73,0,11,3,15,29,0,6,2,0.2679419,0.28331208,0.25762543,1
119,айырым,11,2,0,0,2,111,0,6,2,0.3081903,0.3565652,0.33306506,2
120,егіс,77,10,1,4,18,51,1,4,0,0.31866032,0.33398962,0.32811707,3
121,камера,24,2,2,8,33,78,1,6,2,0.23708299,0.22625768,0.22866765,1
122,ұйымдастырушылық,39,37,0,5,1,93,0,16,4,0.31529784,0.37767804,0.3277027,2
123,бүлік,55,1,1,16,20,52,0,5,2,0.31145772,0.3592894,0.337829,3
124,бұрын-соңды,22,0,15,10,3,111,0,11,4,0.36428642,0.39847574,0.40451804,2
125,түсініктеме,26,57,2,0,2,85,0,11,4,0.30783945,0.3615846,0.2758961,2
126,мораль,6,3,8,11,0,110,0,6,2,0.27177367,0.34432936,0.34190285,3
127,бу,79,0,69,9,8,44,5,2,0,0.103147775,-0.002471617,-0.055347357,2
128,кесе,12,1,62,25,28,10,0,4,0,0.3258175,0.3185318,0.28919685,1
129,поэтикалық,11,0,0,5,0,127,0,10,3,0.40250412,0.43477702,0.44765365,4
130,сырлы,56,0,3,12,3,72,0,5,2,0.40365982,0.419418,0.3838361,3
131,ардақты,49,1,12,29,2,82,0,7,2,0.38194162,0.40934932,0.36387578,2
132,ілік,115,2,13,20,13,121,0,4,0,0.271139,0.34946132,0.3741391,4
133,ерігіштік,143,0,0,0,0,0,0,9,3,0.30478626,0.3708486,0.33463067,3
134,ескертпе,71,18,8,7,2,46,0,8,3,0.3087934,0.35028112,0.32618213,2
135,тәлім-тәрбие,87,0,0,11,0,78,0,12,4,0.34234872,0.4275846,0.38158783,3
136,фразеологизм,0,0,0,0,0,141,0,12,4,0.23023538,0.2981987,0.303828,3
137,түз,92,1,16,24,132,51,0,3,0,0.19375658,0.20831373,0.20203084,3
138,емен,48,0,26,13,17,34,2,4,0,0.28265324,0.3041078,0.28154638,2
139,ауған,118,0,0,36,2,15,0,5,2,0.2762937,0.29141986,0.26093626,2
140,үзіліс,52,28,14,18,5,46,9,6,2,0.31625146,0.2982683,0.23161283,1
141,ашықтық,9,51,0,24,0,67,0,7,2,0.27473587,0.35855532,0.34269202,2
142,мөр,20,75,11,3,2,31,0,3,0,0.16113271,0.18768057,0.19167145,3
143,кристалл,125,0,0,0,0,19,0,8,3,0.25592455,0.28082576,0.3179064,4
144,тыным,13,45,30,23,5,30,0,5,2,0.36841583,0.39985567,0.3692003,2
145,аламан,46,0,64,20,1,23,0,6,2,0.34965745,0.3771904,0.41889802,4
146,бүркеншік,55,4,0,8,0,58,0,9,3,0.2538379,0.32943958,0.27870584,3
147,шалқар,43,2,8,14,0,62,0,6,2,0.34841782,0.40664276,0.45125732,3
148,шалқар,43,2,8,14,0,62,0,6,2,0.34841782,0.40664276,0.45125732,3
149,жанұя,49,1,2,15,1,68,0,5,2,0.29686585,0.28011367,0.1622454,2
150,ықтималдылық,103,2,0,4,0,19,0,12,4,0.32454142,0.36579236,0.29727328,3
151,әлдебір,20,0,24,21,11,68,0,7,2,0.39473516,0.45027748,0.4434766,3
152,цикл,46,4,0,1,1,110,0,4,0,0.22780626,0.2450259,0.17829569,2
153,хайуан,79,0,13,4,12,43,0,6,2,0.29100275,0.29909974,0.25683185,3
154,тұла,15,0,50,8,3,90,0,4,0,0.25293824,0.21727979,0.27600917,4
155,шеру,29,3,1,18,2,91,1,4,0,0.2806069,0.30296662,0.27760422,3
156,бозбала,36,0,12,19,2,55,0,7,2,0.34455875,0.34146896,0.28441432,3
157,көрнектілік,123,0,0,0,0,0,0,11,4,0.39431375,0.46561536,0.4647251,4
158,қаңлы,125,0,1,8,0,0,0,5,2,0.22137058,0.2481634,0.2682968,3
159,бірталай,37,0,15,11,0,110,0,8,3,0.38335854,0.38082784,0.3908078,3
160,шуақ,93,0,26,20,3,21,0,4,0,0.29992187,0.34409302,0.27038512,2
161,байып,0,0,2,4,7,113,0,5,2,0.36948383,0.433533,0.48221612,4
162,мерей,41,1,15,11,1,67,0,5,2,0.32490927,0.3574905,0.31866693,3
163,сүйкімді,53,0,37,18,16,40,0,8,3,0.4094309,0.43089658,0.3814477,1
164,пиғыл,38,1,6,25,1,83,0,5,2,0.25807717,0.35034794,0.398743,4
165,маркетинг,6,4,0,2,0,122,0,9,3,0.2676939,0.3190602,0.29752442,3
166,үндестік,53,3,0,9,0,71,0,8,3,0.2966161,0.3702003,0.36388695,3
167,әмбебап,26,8,2,14,1,104,0,7,2,0.29697993,0.3610272,0.2930212,3
168,потенциал,106,0,0,4,0,62,0,9,3,0.25893566,0.3330397,0.28099713,3
169,әсерлі,76,2,4,0,2,71,0,6,2,0.3781879,0.43395406,0.3919423,2
170,алым,20,70,2,6,0,64,0,4,0,0.27039778,0.30913222,0.28894404,3
171,күрке,17,0,63,5,0,56,0,5,2,0.3016709,0.29301417,0.2824226,3
172,талапты,31,0,7,14,5,69,0,7,2,0.3281609,0.36566508,0.33538693,3
173,қауырсын,67,0,24,19,1,21,1,8,3,0.2985154,0.35146436,0.3220158,2
174,пауза,1,0,0,0,107,49,0,5,2,0.2572994,0.25823492,0.259231,2
175,сөзсіз,68,0,12,64,0,0,0,6,2,0.26055512,0.28970036,0.26474592,2
176,қап-қара,26,0,39,14,11,43,0,8,3,0.39644825,0.42360625,0.44943225,2
177,мөлшерлік,2,0,0,0,0,127,0,9,3,0.4215382,0.46624708,0.422921,2
178,түнек,20,0,28,10,8,76,0,5,2,0.37570652,0.4084765,0.39118943,3
179,салмақты,16,2,5,25,1,101,0,8,3,0.41075772,0.4513907,0.41899028,2
180,белбеу,34,2,31,15,7,76,7,6,2,0.29835057,0.32590136,0.30562744,1
181,катализатор,117,0,0,1,0,6,0,11,4,0.17769653,0.23032838,0.17016701,3
182,біріншіден,66,2,0,48,0,41,0,10,3,0.29343152,0.27179405,0.22988607,2
183,айтпақшы,0,0,9,0,0,125,0,8,3,0.34116533,0.34627524,0.30169344,1
184,ілгерілеу,0,2,0,2,0,31,0,9,3,0.3342746,0.3585067,0.39705157,3
185,ілгерілеу,0,2,0,2,0,31,0,9,3,0.3342746,0.3585067,0.39705157,3
186,жолдама,23,2,10,19,9,102,0,7,2,0.27800295,0.3187232,0.23863134,2
187,этнография,111,3,0,13,0,19,0,10,3,0.3300384,0.36519423,0.33208004,4
188,пирамида,132,3,8,1,10,6,4,8,3,0.30553216,0.33295998,0.31111676,2
189,дереккөз,22,63,0,4,0,60,0,8,3,0.21737732,0.2617438,0.23518106,3
190,жеке-жеке,35,3,1,0,1,113,0,9,3,0.4185757,0.42456442,0.40951276,2
191,эфир,33,3,1,31,2,54,0,4,0,0.21995878,0.2534879,0.2250894,3
192,реңк,21,3,0,2,0,112,0,4,0,0.24052268,0.3225689,0.29618344,3
193,ауызекі,65,0,0,12,0,90,0,7,2,0.35589087,0.36153463,0.38769844,3
194,айналайын,1,0,16,53,3,93,0,9,3,0.3635992,0.38548005,0.39948922,1
195,кітапханашы,157,0,1,12,0,0,1,11,4,0.23873627,0.23900782,0.18383977,2
196,қарғыс,15,0,24,10,17,59,0,6,2,0.26164883,0.34072152,0.2845872,3
197,кеніш,63,5,0,1,0,65,0,5,2,0.29553035,0.3593456,0.33734062,4
198,алақай,50,0,40,6,73,6,1,6,2,0.34327236,0.3357897,0.28372285,1
199,диссертация,15,6,1,34,1,98,0,11,4,0.2606249,0.28922364,0.27722156,3
200,жеткізуші,5,6,0,0,0,130,0,9,3,0.28172398,0.3019889,0.25963557,2
201,бұзық,7,0,17,8,45,53,0,5,2,0.36606795,0.38386858,0.35242945,1
202,бұзық,7,0,17,8,45,53,0,5,2,0.36606795,0.38386858,0.35242945,1
203,бейсенбі,68,22,12,5,6,26,2,8,3,0.29436097,0.26038605,0.21198913,0
204,бәле,21,18,18,18,31,68,0,4,0,0.21674302,0.2260234,0.22900651,1
205,бәле,21,18,18,18,31,68,0,4,0,0.21674302,0.2260234,0.22900651,1
206,құрбандық,46,4,6,16,12,70,0,9,3,0.3473174,0.39619392,0.3220322,2
207,алғыр,89,0,21,9,9,38,0,5,2,0.3631089,0.4030085,0.37208685,1
208,қабір,67,0,12,19,14,42,0,5,2,0.23992483,0.28287116,0.21448724,3
209,әзірше,10,1,14,15,57,69,0,6,2,0.29538912,0.3105708,0.3033923,1
210,тәуелділік,105,20,0,8,2,0,1,10,3,0.28948507,0.32991365,0.28900358,2
211,келтек,6,0,0,0,144,0,0,6,2,0.42946777,0.47430018,0.48164567,2
212,мәтел,86,0,5,2,0,49,0,5,2,0.3891839,0.41631314,0.3655834,3
213,полюс,157,1,0,0,0,9,1,5,2,0.22182257,0.23036821,0.2115074,3
214,бөрене,61,1,48,1,17,25,0,6,2,0.22536804,0.25464448,0.20520708,1
215,бригада,50,1,7,8,14,57,0,7,2,0.24276896,0.2575794,0.18782818,2
216,қия,43,1,16,14,10,39,0,3,0,0.18586734,0.20206077,0.31925446,4
217,жейде,73,0,15,4,13,25,3,5,2,0.33686352,0.3261647,0.31516892,1
218,оп-оңай,18,0,21,10,19,75,0,7,2,0.31982586,0.35306895,0.3703726,1
219,оркестр,20,1,3,50,6,78,5,7,2,0.26376572,0.2871305,0.2847943,2
220,тұнба,146,0,1,2,0,5,0,5,2,0.30251575,0.3335607,0.26792866,3
221,жезтырнақ,6,0,79,1,68,10,0,9,3,0.36141616,0.40735316,0.39048907,3
222,жүдеу,5,0,6,1,6,18,0,5,2,0.37124485,0.384571,0.37818316,2
223,жүдеу,5,0,6,1,6,18,0,5,2,0.37124485,0.384571,0.37818316,2
224,қонақүй,34,2,3,13,34,70,7,7,2,0.26062402,0.25870106,0.20613627,1
225,константа,171,0,0,0,0,0,0,9,3,0.1652865,0.17752409,0.15573265,3
226,нәтижелі,6,3,0,11,0,135,0,8,3,0.33245757,0.36979565,0.34755233,2
227,мән-мағына,26,1,1,13,0,97,0,10,3,0.3952782,0.46882114,0.4456711,2
228,осынша,19,0,39,21,44,0,0,6,2,0.41016695,0.38176912,0.3549123,1
229,байтақ,74,1,6,25,2,51,0,6,2,0.34907493,0.40292042,0.4028504,3
230,майлы,41,0,15,6,4,63,0,5,2,0.38876265,0.41187835,0.38879484,2
231,коммунистік,115,0,0,17,5,0,0,11,4,0.298896,0.38410893,0.38134465,3
232,қорғасын,106,0,12,7,5,0,0,8,3,0.36711693,0.3659913,0.3293476,2
233,картоп,102,1,18,8,9,29,2,6,2,0.3213616,0.30362856,0.27588767,1
234,тау-кен,49,50,0,7,0,43,0,7,2,0.2777786,0.32131872,0.32735556,2
235,атажұрт,0,0,0,98,0,35,0,7,2,0.33090755,0.40115806,0.3932258,2
236,сықылды,18,0,7,19,0,92,0,7,2,0.31376234,0.3563673,0.36220145,3
237,таблица,0,118,0,0,0,8,0,7,2,0.17212018,0.18568644,0.16439712,2
238,көпес,96,0,10,4,1,15,0,5,2,0.13785598,0.16018789,0.094393715,3
239,зират,47,3,29,9,3,43,0,5,2,0.240181,0.29532376,0.2037542,2
240,күмбез,90,2,12,5,30,36,1,6,2,0.25612745,0.30308247,0.31773815,2
241,тапшылық,52,35,3,20,9,18,5,8,3,0.37058306,0.40766162,0.370136,2
242,порт,71,20,0,12,0,65,0,4,0,0.16557692,0.2242367,0.19353788,2
243,жалын,48,0,64,78,121,144,0,5,2,0.34029856,0.39438236,0.3507158,2
244,батпақ,80,18,18,4,1,46,1,6,2,0.30722207,0.3359572,0.3380125,1
245,күрек,33,2,44,5,5,84,0,5,2,0.41309643,0.39472082,0.3591223,2
246,көр,2325,49,1880,1490,1738,6454,0,3,0,0.3629154,0.41436774,0.3617151,3
247,көр,2325,49,1880,1490,1738,6454,0,3,0,0.3629154,0.41436774,0.3617151,3
248,қасқа,26,0,29,8,9,86,0,5,2,0.36146006,0.38561255,0.3736005,3
249,қасқа,26,0,29,8,9,86,0,5,2,0.36146006,0.38561255,0.3736005,3
250,уәзір,9,0,99,10,0,48,0,5,2,0.24887995,0.2669095,0.25595245,2
251,біршама,104,29,1,34,1,4,4,7,2,0.41960305,0.43377224,0.45010397,2
252,пана,71,1,18,14,22,44,0,4,0,0.3026738,0.3727611,0.28248617,3
253,ойын-сауық,63,9,8,16,0,38,6,10,3,0.32739982,0.36871016,0.30043945,3
254,бұта,58,2,43,24,15,46,0,4,0,0.2825681,0.33133984,0.32618195,2
255,фермер,25,1,11,3,4,110,2,6,2,0.24503885,0.2528137,0.24974003,2
256,домалақ,84,0,16,8,3,15,0,7,2,0.3664935,0.38101095,0.32112885,1
257,кішігірім,43,11,8,101,1,0,2,9,3,0.35813376,0.39615425,0.34578076,2
258,уыс,21,0,43,13,15,58,0,3,0,0.24993633,0.2534136,0.17521437,2
259,кафедра,33,3,2,32,3,53,0,7,2,0.22879311,0.25136527,0.21795405,2
260,алқым,23,0,8,1,6,90,0,5,2,0.3386104,0.3565975,0.38288856,2
261,сыпайы,65,12,6,6,8,68,2,6,2,0.3391253,0.37419435,0.31042168,2
262,арақатынас,49,16,0,5,0,76,0,10,3,0.3023585,0.33052412,0.24354072,3
263,территория,97,12,0,27,21,0,2,10,3,0.23441328,0.31740612,0.31521922,2
264,қал,3012,251,2392,1749,1606,7393,9,3,0,0.3482482,0.37611786,0.36060533,2
265,ризашылық,14,2,4,33,6,82,0,9,3,0.27125147,0.37945923,0.3074813,2
266,аялдама,82,3,4,16,7,42,1,7,2,0.30119818,0.2794985,0.20254962,1
267,реформалау,0,20,0,0,0,0,0,10,3,0.28187248,0.30369976,0.34876293,4
268,реформалау,0,20,0,0,0,0,0,10,3,0.28187248,0.30369976,0.34876293,4
269,ырым,61,0,11,14,6,42,1,4,0,0.3109105,0.37805843,0.27784795,2
270,шалғай,44,7,7,21,2,60,0,6,2,0.3084231,0.3100286,0.39809814,4
271,шалғай,44,7,7,21,2,60,0,6,2,0.3084231,0.3100286,0.39809814,4
272,сауда-экономикалық,84,1,0,5,0,58,0,18,4,0.2824949,0.33816662,0.31979743,3
273,қасық,60,0,50,25,0,30,3,5,2,0.4075603,0.4305568,0.37574467,1
274,қымбатты,68,0,14,21,24,0,0,8,3,0.43268505,0.4355869,0.36008278,1
275,функционалды,16,8,0,3,0,113,0,12,4,0.28077453,0.30767536,0.27410945,3
276,жүлдегер,13,0,1,15,1,115,1,8,3,0.330371,0.34247768,0.3089084,2
277,шегарашы,11,84,2,0,1,37,0,8,3,0.45686722,0.49827284,0.48175457,2
278,өй,8,0,23,19,40,75,0,2,0,-0.10483725,-0.1667747,-0.12602706,1
279,айыпталушы,0,19,3,0,0,149,0,10,3,0.2675435,0.2790765,0.23551425,3
280,қомақты,22,14,4,26,4,83,0,7,2,0.33579442,0.40463588,0.39058977,3
281,көбінесе,114,8,0,2,13,0,3,8,3,0.46650496,0.42603806,0.42448375,2
282,таяуда,14,5,0,19,0,89,0,6,2,0.23553637,0.26413745,0.26669684,3
283,мәміле,9,36,0,11,2,91,0,6,2,0.258523,0.3175229,0.2685664,3
284,дерлік,90,0,8,41,1,6,1,6,2,0.35740134,0.33652812,0.3366862,2
285,жаңғақ,55,0,47,7,2,25,1,6,2,0.38142833,0.35229382,0.30811426,1
286,вагон,63,23,4,8,8,46,0,5,2,0.33324048,0.31509742,0.24597998,1
287,әжей,50,0,40,27,12,21,0,4,0,0.20258683,0.16726458,0.12032132,1
288,массалық,157,0,0,0,0,0,0,8,3,0.30768424,0.34704402,0.2804415,3
289,әдістемелік,89,46,0,22,0,0,0,11,4,0.34839097,0.38805315,0.36572513,3
290,қай-қайдағы,3,0,129,1,2,0,0,11,4,0.3803267,0.41619638,0.4727243,3
291,қулық,39,0,14,9,22,58,1,5,2,0.32512754,0.35824797,0.35656562,2
292,музей,86,6,4,34,0,37,8,5,2,0.22024396,0.2563829,0.22763936,1
293,мейірімділік,95,1,7,6,0,47,1,12,4,0.37375972,0.41771752,0.31091037,2
294,қоқыс,33,3,30,10,14,50,6,5,2,0.3519273,0.35007316,0.2677414,1
295,сульфат,157,0,0,0,0,1,0,7,2,0.203902,0.26934877,0.25659266,3
296,сөре,75,0,11,7,4,58,2,4,0,0.23886411,0.2162251,0.19790168,1
297,төркін,35,0,2,16,2,69,0,6,2,0.43180105,0.46375072,0.45241863,3
298,градус,114,5,0,13,1,31,3,6,2,0.25707826,0.19051804,0.14594537,1
299,ішімдік,32,7,8,8,8,64,0,7,2,0.34091762,0.3702516,0.2916709,2
300,ұстаздық,58,0,0,4,1,101,0,8,3,0.32044804,0.3574567,0.31730908,3
301,полигон,21,16,0,59,1,41,0,7,2,0.21207212,0.24152333,0.19999443,2
302,қосақ,10,0,3,2,2,114,0,5,2,0.28212467,0.32193834,0.3045645,3
303,қызылша,53,73,8,0,3,10,0,7,2,0.31632432,0.30037928,0.28466177,1
304,алғы,61,18,3,9,0,50,1,4,0,0.24765427,0.29081005,0.25437805,2
305,алғы,61,18,3,9,0,50,0,4,0,0.24765427,0.29081005,0.25437805,2
306,ойпат,141,3,0,1,0,11,0,5,2,0.22068991,0.27802515,0.32204673,3
