Unnamed: 0,word,complexity_level
473,жыр,A1
474,жырау,B1
475,мәдениет,B2
476,мәдениетті,B2
477,құжат,B1
478,қолжазба,B2
479,қолхат,B1
480,қымбат,B1
481,бағалы,B1
482,баға,A1
483,мұра,A1
484,мирас,B1
485,тиын,A1
486,негізгі,B1
487,басты,B1
488,маңыз,B1
489,ескерткіш,B2
490,естелік,B1
491,құрылысшы,B2
492,құрылыс,B1
493,құрау,B1
494,ұшқыш,B1
495,жүргізуші,B2
496,сатушы,B1
497,әнші,A1
498,ән,A1
499,орындаушы,B2
500,есепші,B1
501,даяшы,B1
502,тігуші,B1
503,сәнгер,B1
504,сән,A1
505,сазгер,B1
506,тіл,A1
507,тіл,A1
508,биші,A1
509,болашақ,B1
510,келешек,B1
511,ертеңгі,B1
512,таңертеңгі,B2
513,ағын,A1
514,оқырман,B1
515,кездесу,B1
516,алты,A1
517,жеті,A1
518,тіс,A1
519,бет,A1
520,тарау,B1
521,шаш,A1
522,шаш,A1
523,ұзын,A1
524,қысқа,B1
525,шалбар,B1
526,көйлек,B1
527,бәтеңке,B1
528,ескі,A1
529,баскиім,B1
530,жемпір,B1
531,күртеше,B1
532,етік,A1
533,пәлте,B1
534,мойынорағыш,C1
535,жел,A1
536,жел,A1
537,бірақ,B1
538,тұщы,A1
539,теңіз,B1
540,тұлға,B1
541,ұстаз,B1
542,тамшы,B1
543,құдық,B1
544,өзен,A1
545,көлшік,B1
546,сусын,B1
547,шығарма,B1
548,кезінде,B1
549,жаңалық,B1
550,зерттеу,B1
551,төбе,A1
552,бұлжытпай,B2
553,ардақ,B1
554,қалжың,B1
555,анаконда,B2
556,қыз,A1
557,қыз,A1
558,дейін,B1
559,бауырмал,B2
560,бауырсақ,B2
561,кейіпкер,B2
562,дұшпан,B1
563,жау,A1
564,жау,A1
565,жауыз,B1
566,қас,A1
567,қас,A1
568,қаскүнем,B2
569,сұм,A1
570,ашулы,B1
571,түн,A1
572,күміс,B1
573,кілем,B1
574,анар,A1
575,дәмді,B1
576,сәбіз,B1
577,қызанақ,B1
578,шырын,B1
579,тұмсық,B1
580,мұрт,A1
581,кірпік,B1
582,итбалық,B1
583,кит,A1
584,дельфин,B1
585,қорқақ,B1
586,жалтақ,B1
587,тиін,A1
588,бөрі,A1
589,қасқыр,B1
590,түлкі,B1
591,тоқылдақ,B2
592,суқойма,B1
593,мұхит,B1
594,лақ,A1
595,лақ,A1
596,лақ,A1
597,құлын,B1
598,болмыс,B1
599,тұрмыс,B1
600,үшін,A1
601,бүгін,B1
602,қазір,B1
603,салақ,B1
604,ұқыпсыз,B1
605,салғырт,B1
606,ұқыпсыздық,B2
607,шығар,B1
608,мүмкін,B1
609,мүмкіндік,B2
610,бәлкім,B1
611,және,A1
612,бейне,B1
613,бейне,B1
614,келбет,B1
615,көрініс,B1
616,пайда,B1
617,ұтыс,A1
618,ұтымды,B1
619,тиімділік,B2
620,береке,B1
621,тұз,A1
622,бақа,A1
623,құрбақа,B1
624,жүйе,A1
625,қайта,B1
626,қою,A1
627,бірінші,B1
628,өз,A1
629,ол,A1
630,басқа,B1
631,жоқ,A1
632,тек,A1
633,тек,A1
634,тек,A1
635,мемлекеттік,C1
636,қала,A1
637,қала,A1
638,заң,A1
639,сабақ,B1
640,жасау,B1
641,сала,A1
642,сөз,A1
643,жағдай,B1
644,қалай,B1
645,бар,A1
646,бар,A1
647,бар,A1
648,сұрау,B1
649,тарту,B1
650,жыл,A1
651,ұлт,A1
652,көз,A1
653,бала,A1
654,бала,A1
655,мына,A1
656,мысал,B1
657,бойынша,B1
658,бұл,A1
659,бұл,A1
660,күш,A1
661,сонда,B1
662,мақсат,B1
663,туралы,B1
664,жас,A1
665,жас,A1
666,жақсы,B1
667,арқылы,B1
668,енді,A1
669,енді,A1
670,құрал,B1
671,құрал,B1
672,осы,A1
673,немесе,B1
674,барлық,B1
675,барлық,B1
676,не,A1
677,не,A1
678,байланысты,B2
679,жоғары,B1
680,ғой,A1
681,өмір,A1
682,негіз,B1
683,әрі,A1
684,әрі,A1
685,кез,A1
686,кез,A1
687,атау,A1
688,соң,A1
689,республика,B2
690,екі,A1
691,тапсырма,B2
692,кейін,B1
693,кейін,B1
694,ара,A1
695,табу,A1
696,ғана,A1
697,қазақ,B1
698,сияқты,B1
699,үлкен,B1
700,бес,A1
701,әйел,A1
702,ал,A1
703,ал,A1
704,ал,A1
705,ал,A1
706,ауыл,A1
707,жаңа,A1
708,топ,A1
709,қол,A1
710,бой,A1
711,су,A1
712,өте,A1
713,өте,A1
714,бір,A1
715,бір,A1
716,жер,A1
717,зерттеушілік,C1
718,бастау,B1
719,отбасы,B1
720,сан,A1
721,сондықтан,B2
722,ойлау,B1
723,рет,A1
724,оқушы,B1
725,күн,A1
726,қолдау,B1
727,ақын,A1
728,ғалым,B1
729,кім,A1
730,ие,A1
731,де,A1
732,де,A1
733,түр,A1
734,түр,A1
735,әр,A1
736,әр,A1
737,қосымша,B1
738,қосымша,B1
739,ең,A1
740,жұмыс,B1
741,мемлекет,B2
742,бәрі,A1
743,өзі,A1
744,мектеп,B1
745,қандай,B1
746,қатар,B1
747,қатар,B1
748,қабылдау,B2
749,қарай,B1
750,облыс,B1
751,адам,A1
752,ұлттық,B1
753,мәселе,B1
754,бас,A1
755,бас,A1
756,құқық,B1
757,білім,B1
758,іс,A1
759,іс,A1
760,тағы,A1
761,тағы,A1
762,тағы,A1
763,да,A1
764,үй,A1
765,үй,A1
766,іш,A1
767,іш,A1
768,егер,A1
769,жылы,A1
770,жылы,A1
771,тиіс,A1
772,халық,B1
773,кен,A1
774,оқу,A1
775,мен,A1
776,мен,A1
777,қызмет,B1
778,қажет,B1
779,қажет,B1
780,пен,A1
781,еңбек,B1
782,жеке,A1
783,қара,A1
784,қара,A1
785,қара,A1
786,әке,A1
787,керек,B1
788,уақыт,B1
789,көп,A1
790,өлең,A1
791,ел,A1
792,жауап,B1
793,үш,A1
794,екен,A1
795,ой,A1
796,ой,A1
797,ой,A1
798,емес,A1
799,сонымен,B1
800,сонымен,B1
801,жол,A1
802,сол,A1
803,сол,A1
804,сол,A1
805,ана,A1
806,ана,A1
807,ағыс,A1
808,ағым,A1
809,жүз,A1
810,жүз,A1
811,жүз,A1
812,миллион,B1
813,миллиард,B2
814,шаштараз,B2
815,кемпірқосақ,C1
816,кесене,B1
817,бата,A1
818,нақыл,B1
819,аяз,A1
820,тайғақ,B1
821,мұзайдын,B2
822,ауа,A1
823,қолшатыр,B2
824,былтыр,B1
825,бұршақ,B1
826,тоң,A1
827,тоң,A1
828,құлақшын,B2
829,шәпке,B1
830,төрт,A1
831,сегіз,B1
832,тоғыз,B1
833,он,A1
834,жиырма,B1
835,отыз,A1
836,қырық,B1
837,қырық,B1
838,елу,A1
839,алпыс,B1
840,жетпіс,B1
841,сексен,B1
842,тоқсан,B1
843,тоқсан,B1
844,доңыз,B1
845,тұзды,B1
846,үскірік,B1
847,дәрі,A1
848,дәрілік,B1
849,емдік,B1
850,емші,A1
851,ғаламшар,B2
852,планета,B1
853,әуежай,B1
854,әуе,A1
855,арнау,B1
856,сахна,B1
857,би,A1
858,сырға,B1
859,алтын,B1
860,бірлік,B1
861,өш,A1
862,өш,A1
863,өш,A1
864,қанат,B1
865,қанат,B1
866,аяулы,B1
867,ақырын,B1
868,баяу,A1
869,ілгері,B1
870,қабырға,B1
871,қадір-қасиет,C1
872,керемет,B1
873,тиімді,B1
874,тұңғыш,B1
875,ықтимал,B1
876,мұртты,B1
877,көпжылдық,B2
878,құнды,B1
879,келесі,B1
880,терең,B1
881,лас,A1
882,мейірімсіз,B2
883,демалыс,B1
884,оңай,A1
885,кешкі,B1
886,ұзақ,A1
887,ұзақ,A1
888,пайымдау,B2
889,өнер,A1
890,бөлім,B1
891,бөлік,B1
892,бөлшек,B1
893,бөлімше,B1
894,зергер,B1
895,шебер,B1
896,шебер,B1
897,қолөнер,B1
898,сандық,B1
899,сандық,B1
900,сулы,A1
901,мүйізтұмсық,C1
902,пингвин,B1
903,піл,A1
904,қолтырауын,B2
905,аллигатор,B2
906,арыстан,B1
907,қабылан,B1
908,гепард,B1
909,бөкен,B1
910,аударыспақ,B2
911,өтініш,B1
912,тілек,B1
913,жиын,A1
914,шоғыр,B1
915,қырғауыл,B2
916,жыртқыш,B1
917,континент,B2
918,ұштағыш,B1
919,түс,A1
920,түс,A1
921,түс,A1
922,қайталау,B2
923,қи,A1
924,қи,A1
925,сұрақ,B1
926,күнде,B1
927,күнде,B1
928,аула,A1
929,аула,A1
930,көше,A1
931,тар,A1
932,саусақ,B1
933,оң,A1
934,оң,A1
935,түрлі,B1
936,мұрын,B1
937,құлақ,B1
938,ауыз,A1
939,тәтті,B1
940,салқын,B1
941,ертегі,B1
942,сайын,B1
943,сайын,B1
944,сараң,B1
945,тапқыр,B1
946,наурыз,B1
947,айран,B1
948,ай,A1
949,ай,A1
950,ай,A1
951,кереует,B1
952,айна,A1
953,апта,A1
954,апта,A1
955,дүйсенбі,B2
956,сейсенбі,B2
957,сәрсенбі,B2
958,жұма,A1
959,сенбі,B1
960,жексенбі,B2
961,тілші,B1
962,шыбын,B1
963,жүк,A1
964,тобыр,B1
965,қылықты,B1
966,жануар,B1
967,әрекет,B1
968,нәрсе,B1
969,минут,B1
970,әдетте,B1
971,көмекші,B1
972,ешқашан,B1
973,кіші,A1
974,құс,A1
975,құс,A1
976,ет,A1
977,ет,A1
978,ғылым,B1
979,қатысты,B1
980,дауыс,B1
981,аянышты,B1
982,бағалау,B1
983,қорық,B1
984,қорық,B1
985,қорғау,B1
986,қорғаныш,B2
987,қорғаныс,B2
988,сүтқоректі,B2
989,тышқан,B1
990,сирек,B1
991,ағаш,A1
992,дән,A1
993,тұқым,B1
994,ін,A1
995,тал,A1
996,тал,A1
997,терек,B1
998,көгал,B1
999,шөп,A1
1000,жусан,B1
1001,сексеуіл,B2
1002,аралық,B1
1003,бұрынғы,B1
1004,пішін,B1
1005,аморфты,B1
1006,мұрат,B1
1007,мақсатты,B2
1008,мақсаттылық,C1
1009,сезімтал,B2
1010,есім,A1
1011,объект,B1
1012,тәжірибе,B2
1013,тәжірибе,B2
1014,көлем,B1
1015,мөлшер,B1
1016,кейде,B1
1017,университет,C1
1018,университеттік,C1
1019,тең,A1
1020,тең,A1
1021,аумақ,B1
1022,киім,A1
1023,шипалы,B1
1024,дауалы,B1
1025,ата,A1
1026,ата,A1
1027,өтінім,B1
1028,даяр,A1
1029,дөңгелек,B2
1030,дөңгелек,B2
1031,арман,B1
1032,қиял,A1
1033,дене,A1
1034,күндіз,B1
1035,күй,A1
1036,күй,A1
1037,сыртқы,B1
1038,жұмыскер,B2
1039,алды (алд),B2
1040,үміт,A1
1041,құндылық,B2
1042,саты,A1
