жүргізу,A1,0
сатушы,A1,0
әнші,A1,0
ән,B1,0
орындаушы,A2,0
орындау,B1,0
есепші,A1,0
даяшы,A1,0
тігуші,A2,0
тігін,A2,0
сәнгер,A2,0
сән,A1,0
сәндеу,C1,0
сазгер,A2,0
тіл,A1,0
биші,A2,0
болашақ,B1,0
келешек,B2,0
ертеңгі,B2,0
таңертеңгі,B2,0
ағын,A1,0
оқырман,A1,0
кездесу,A1,0
жолығу,B1,0
тізімдеу,B1,0
алты,A1,0
жеті,A1,0
тіс,A1,0
бет,A1,0
тарау,A1,0
шаш,A1,0
ұзын,B1,0
қысқа,B1,0
жейде,A1,0
шалбар,A1,0
көйлек,A1,0
бәтеңке,B1,0
ескі,B2,0
баскиім,A1,0
күрте,A2,0
жемпір,A1,0
күртеше,A2,0
етік,A1,0
кию,A1,0
пәлте,B1,0
мойынорағыш,A2,0
байлау,A2,0
жел,A1,0
бірақ,A2,0
тұщы,A2,0
қоқыс,B1,0
теңіз,A1,0
тұлға,A2,0
іздеу,A2,0
ұстаз,B1,0
тамшы,A2,0
құдық,A2,0
өзен,A1,0
көлшік,A2,0
сусын,A1,0
шығарма,A1,0
кезінде,A2,0
жаңалық,A1,0
зерттеу,B1,0
төбе,A2,0
бұлжытпай,C1,0
ардақ,B2,0
қадірлеу,A1,0
қалжың,A2,0
мерей,B1,0
анаконда,C1,0
қыз,A1,0
шулау,A2,0
дейін,A1,0
бауырмал,B1,0
бауырсақ,A1,0
туысшыл,B1,0
тапсыру,B1,0
міндеттеу,A1,u
жүктеу,A2,0
кейіпкер,A1,u
протагонист,B2,0
антагонист,C1,d
дұшпан,B1,d
жау,B1,d
жауыз,B1,d
қас,A1,u
қаскүнем,C1,0
сұм,B2,0
ашулы,B2,d
түн,B1,d
орналасу,B2,d
күміс,A1,u
кілем,A1,u
моншақ,A2,0
ауыру,A1,u
ішу,A1,0
анар,A1,B1
дәмді,B2,d
сәбіз,A1,0
қызанақ,A1,0
тоңу,A1,u
шырын,A1,u
тұмсық,B1,0
мұрт,A2,0
кірпік,A1,u
итбалық,B1,0
кит,B2,0
дельфин,C1,d
қорқақ,A2,0
сескенгіш,B1,0
үрейшіл,B1,0
жалтақ,B2,0
тиін,B1,0
бөрі,B1,0
қасқыр,A1,u
түлкі,A1,u
тоқылдақ,B2,p
батпақ,A2,0
суқойма,C1,d
суайдын,B1,0
мұхит,A1,u
лақ,A2,0
құлын,A2,0
болмыс,B2,0
тұрмыс,B1,0
үшін,B2,A2
бүгін,A1,0
қазір,A1,u
салақ,B1,0
ұқыпсыз,C1,d
салғырт,C1,0
немқұрайлылық,B2,0
немқұрайлы,B2,0
ұқыпсыздық,C1,d
шығар,A2,0
мүмкін,A1,u
мүмкіндік,B2,d
бәлкім,B2,0
және,A1,0
бейне,A1,u
келбет,A2,0
көрініс,B2,d
пайда,A2,0
ұтыс,A2,0
ұтымды,B1,d
тиімділік,B2,0
береке,B1,0
тұз,A1,0
тұздау,B2,0
қанағатсыздану,B1,0
бақа,A2,0
құрбақа,A2,0
жарату,A1,B1
тұтыну,B1,0
пайдаланушы,B1,0
ағыс,B1,d
ағым,A1,u
жүз,A1,0
миллион,A1,0
миллиард,A1,0
шаштараз,A1,u
қашу,B1,0
кемпірқосақ,A2,0
кесене,B1,0
бата,A1,B1
нақыл,B1,0
бата беру,A2,u
осы,B1,0
қызмет ету,B1,d
қызмет,A1,u
ету,A1,u
аяз,A2,0
тайғақ,A1,u
мұзайдын,C1,d
ауа,A1,0
қолшатыр,B1,0
былтыр,A2,u
бұршақ,A1,0
тоң,A2,0
құлақшын,B1,0
шәпке,C1,B1
екі,A1,0
үш,A1,0
төрт,A1,0
бес,A1,0
сегіз,A1,0
тоғыз,A1,0
он,A1,0
жиырма,A1,0
отыз,A1,0
қырық,A1,0
елу,A1,0
алпыс,A1,0
жетпіс,A1,0
сексен,A1,0
тоқсан,A1,0
доңыз,A2,0
тұзды,B2,d
үскірік,C1,0
дәрі,A1,0
дәрілік,C1,A2
емдік,C1,A2
емші,B2,A2
емдеу,A1,0
сияқты,A2,0
ғаламшар,A2,0
планета,B2,A2
жарқырау,A2,0
жалтылдау,C1,d
әуежай,A1,0
бұрылу,B1,d
айналмалы,C1,d
әуе,A2,0
арнау,B2,0
қуу,B1,0
сахна,A1,0
би,A2,0
сырға,A2,u
алтын,A1,0
бірлік,B2,0
өш,B1,u
қанат,A2,0
аяулы,B1,0
ақырын,A1,u
баяу,B2,d
жақындау,A2,0
ілгері,C1,0
жасау,A1,0
жақсарту,A2,0
қиялдау,C1,d
үміттену,B2,0
қабырға,A1,u
қадір-қасиет,B2,0
шөлдеу,B1,0
жағдай,B1,0
атқару,A2,u
ұйықтау,A1,0
керемет,B2,A2
ұмыту,B1,0
ол,A1,0
уақыт,A1,0
мектеп,A1,0
қанағаттандыру,A2,u
тиімді,B2,u
тұңғыш,A2,0
ықтимал,B2,0
мұртты,C1,B1
көпжылдық,B1,0
құнды,A2,0
келесі,A2,d
терең,B2,0
лас,B1,0
мейірімсіз,C1,d
демалыс,A1,u
демалу,B1,d
оңай,B1,d
қалу,A2,0
кешкі,B2,A2
ұзақ,B1,d
пайымдау,A2,0
жаңа,B2,A2
кіру,A1,0
өнер,A1,0
бөлім,A1,0
бөлу,A2,0
бөлік,B2,A2
бөлшек,A2,0
бөлімше,B2,0
зергер,A2,0
шебер,A1,0
қолөнер,A2,0
сандық,B2,d
ғалым,A1,0
әзірлеу,B1,0
сулы,B2,d
даярлау,A1,0
мүйізтұмсық,B2,d
жираф,B1,0
пингвин,B2,d
піл,A1,u
қолтырауын,A2,0
аллигатор,C1,B1
арыстан,A1,u
зебра,B1,0
жолақат,B1,я даже не знаю что это такое
пантера,B1,0
қабылан,B2,0
гепард,C1,B1
бөкен,C1,d
антилопа,B1,0
өртену,B1,0
түсу,B2,d
айналдыру,B1,0
аударыспақ,C1,d
өтіну,B1,d
өтініш,A1,u
тілек,B2,d
тапсырма,A1,0
жиын,A1,u
шоғыр,B2,0
топтау,B2,0
шоғырлау,C1,d
іс,B1,0
еңбектену,B2,d
еңбек ету,A2,0
қырғауыл,B1,u
жыртқыш,B1,0
континент,C1,B1
материк,B1,0
дайындау,A1,u
ұштағыш,A1,u
түс,B2,A2
қайталау,A1,0
қайту,B1,0
қи,A1,B1
сұрақ,B1,0
апару,A1,0
күнделік,B1,0
күнде,A1,0
салу,A1,u
санау,A1,0
сөйлеу,A1,0
аула,A1,u
күрек,A1,u
қазу,A1,u
ұстау,B2,0
тазалау,A1,0
тазалық сақтау,A2,0
көше,A1,0
тар,A1,B1
саусақ,A1,0
оң,B1,A1
сол,B1,A1
түрлі,A1,u
көз,A1,0
мұрын,A1,0
құлақ,A1,0
ауыз,A1,0
тәтті,A1,0
салқын,A1,0
ертегі,A2,0
туралы,B2,d
тігінші,B1,0
тігу,B1,0
сайын,B2,0
ренжу,A2,0
сараң,A2,u
табу,A2,0
тапқыр,A2,0
ән айту,A1,0
билеу,A1,0
наурыз,A1,0
айран,A1,0
құю,A2,0
әперу,A1,по идеи нет
ай,A1,0
кереует,A1,B1
айна,A1,0
жоғалту,A1,u
сыйлау,A1,u
туған күн,A2,0
апта,A1,0
дүйсенбі,A1,0
сейсенбі,A1,0
сәрсенбі,A1,0
бейсенбі,A1,0
жұма,A1,0
сенбі,A1,0
жексенбі,A1,0
тілші,A1,B1
шыбын,A2,0
жұқа,A1,u
жүк,A2,0
тобыр,B2,0
қылықты,C1,d
отбасы,A1,0
деу,C1,A2
көрсету,B1,0
үй,A1,0
бастау,A2,0
ұнату,B1,d
жануар,A1,0
сөз,A1,0
бұл,B1,d
әрекет,B2,d
нәрсе,A1,0
минут,A1,0
әдетте,A1,0
білдіру,B2,d
көмекші,B1,0
ешқашан,B2,d
қол,A1,0
қол жүк,B1,0
кіші,A1,0
құс,A1,0
ет,A1,0
мен,A1,0
ғылым,A1,0
қатысты,B1,0
дауыс,A1,0
болады,A1,0
аз ғана,A2,0
аянышты,B2,d
бағалау,A2,0
қорық,B2,0
қорғау,A1,0
қорғаныш,C1,B1
қорғаныс,A2,0
қоректену,A2,0
қорек,B2,d
сүтқоректі,B1,0
шөпқоректі,B1,0
тышқан,A2,0
сирек,A1,u
ағаш,A1,0
дән,B1,0
тұқым,A2,0
ін,A2,0
тал,B1,d
емен,A2,u
терек,A2,0
көгал,B2,d
шөп,A2,0
жусан,B1,0
сексеуіл,B2,d
теру,A2,0
жинау,A1,u
аралық,A1,u
бұрынғы,C1,B1
пішін,B1,0
түрсіз,B2,d
аморфты,C1,0
мақсат,A2,0
мұрат,B2,0
мақсатты,B2,A2
мақсаттылық,C1,A2
сезімтал,B2,d
есім,C1,B1
арналу,A1,0
сондықтан,A1,0
астана,B2,A1-A2
объект,A1,0
тәжірибе,A2,0
көлем,A2,0
мөлшер,A2,0
үйрету,A1,0
кейде,A2,0
университет,B1,0
университеттік,B2,d
тең,B2,A2
аумақ,B1,0
киім,A1,0
шешу,A2,0
жасанды интеллект,B2,0
анықтау,A2,0
шипалы,B1,0
шипалылық,B1,0
дауалы,C1,0
ата,A1,0
айту,A1,0
тартысу,C1,d
өтінім,B1,0
даяр,B2,d
дөңгелек,A1,0
жаю,B2,0
арман,A2,0
қиял,A2,0
армандау,B1,d
дене,B1,0
мекендеу,A2,0
күндіз,A1,u
күй,A1,u
сыртқы,A1,0
еңбек,A1,0
жұмыскер,C1,A2
алды (алд),A2,0
алдында,A1,0
үміт,A2,0
айналу,B1,0
рет,B1,0
құндылық,A1,0
негіз,A2,0
саты,B1,0
